docname,topic,proportion
cv419_14799.txt:46,000,0.616642
cv419_14799.txt:46,001,0.284845
cv419_14799.txt:46,002,0.098513
cv564_12011.txt:3,014,1.0
cv995_23113.txt:3,003,1.0
cv995_23113.txt:38,004,1.0
cv043_16808.txt:3,000,0.616642
cv043_16808.txt:3,001,0.284845
cv043_16808.txt:3,002,0.098513
cv567_29420.txt:23,002,1.0
cv094_27868.txt:9,012,1.0
cv637_13682.txt:16,000,1.0
cv637_13682.txt:51,000,1.0
cv469_21998.txt:34,000,1.0
cv202_11382.txt:26,000,1.0
cv964_5794.txt:22,000,1.0
cv080_14899.txt:24,006,1.0
cv479_5450.txt:13,010,1.0
cv024_7033.txt:14,010,1.0
cv110_27832.txt:17,010,1.0
cv833_11961.txt:2,002,1.0
cv416_12048.txt:13,004,1.0
cv843_17054.txt:14,000,1.0
cv992_12806.txt:29,000,0.616642
cv992_12806.txt:29,001,0.284845
cv992_12806.txt:29,002,0.098513
cv328_10908.txt:12,004,1.0
cv307_26382.txt:3,014,1.0
cv307_26382.txt:38,010,1.0
cv643_29282.txt:15,011,1.0
cv610_24153.txt:19,004,1.0
cv256_16529.txt:12,000,1.0
cv256_16529.txt:47,001,1.0
cv830_5778.txt:4,010,1.0
cv327_21743.txt:28,010,1.0
cv223_28923.txt:23,010,1.0
cv908_17779.txt:10,006,1.0
cv164_23451.txt:0,000,1.0
cv935_24977.txt:2,000,1.0
cv461_21124.txt:8,004,1.0
cv087_2145.txt:23,010,1.0
cv836_14311.txt:16,007,1.0
cv885_13390.txt:24,005,1.0
cv756_23676.txt:1,007,1.0
cv676_22202.txt:5,010,1.0
cv676_22202.txt:40,000,1.0
cv581_20790.txt:11,000,1.0
cv448_16409.txt:9,000,1.0
cv873_19937.txt:23,007,1.0
cv569_26750.txt:33,010,1.0
cv069_11613.txt:10,004,1.0
cv298_24487.txt:12,002,1.0
cv178_14380.txt:26,003,1.0
cv793_15235.txt:5,011,1.0
cv010_29063.txt:27,000,1.0
cv221_27081.txt:27,000,1.0
cv153_11607.txt:3,000,1.0
cv537_13516.txt:21,001,1.0
cv378_21982.txt:1,002,1.0
cv378_21982.txt:36,002,1.0
cv688_7884.txt:6,004,1.0
cv688_7884.txt:41,000,1.0
cv761_13769.txt:33,000,1.0
cv666_20301.txt:6,010,1.0
cv963_7208.txt:25,001,1.0
cv750_10606.txt:13,010,1.0
cv921_13988.txt:23,011,1.0
cv226_26692.txt:30,009,1.0
cv133_18065.txt:11,002,1.0
cv965_26688.txt:27,001,1.0
cv730_10729.txt:5,003,1.0
cv874_12182.txt:2,012,1.0
cv874_12182.txt:37,001,1.0
cv875_5622.txt:9,000,1.0
cv605_12730.txt:10,001,1.0
cv764_12701.txt:9,011,1.0
cv934_20426.txt:25,000,1.0
cv394_5311.txt:5,000,1.0
cv394_5311.txt:40,006,1.0
cv323_29633.txt:8,015,1.0
cv009_29417.txt:8,000,0.616642
cv009_29417.txt:8,001,0.284845
cv009_29417.txt:8,002,0.098513
cv009_29417.txt:43,004,1.0
cv883_27621.txt:29,005,1.0
cv093_15606.txt:8,009,1.0
cv027_26270.txt:34,001,1.0
cv127_16451.txt:26,010,1.0
cv486_9788.txt:27,001,1.0
cv486_9788.txt:62,001,1.0
cv213_20300.txt:13,010,1.0
cv322_21820.txt:28,004,1.0
cv800_13494.txt:13,010,1.0
cv488_21453.txt:20,000,1.0
cv771_28466.txt:12,010,1.0
cv146_19587.txt:20,007,1.0
cv684_12727.txt:9,012,1.0
cv048_18380.txt:14,000,1.0
cv421_9752.txt:28,001,1.0
cv067_21192.txt:29,008,1.0
cv166_11959.txt:8,008,1.0
cv166_11959.txt:43,000,1.0
cv533_9843.txt:33,010,1.0
cv295_17060.txt:9,000,1.0
cv295_17060.txt:44,010,1.0
cv798_24779.txt:26,010,1.0
cv504_29120.txt:4,007,1.0
cv954_19932.txt:12,002,1.0
cv927_11471.txt:17,010,1.0
cv942_18509.txt:10,001,1.0
cv718_12227.txt:11,010,1.0
cv028_26964.txt:15,003,1.0
cv032_23718.txt:31,002,1.0
cv032_23718.txt:66,006,1.0
cv206_15893.txt:1,012,1.0
cv453_10911.txt:13,008,1.0
cv517_20616.txt:3,003,1.0
cv545_12848.txt:4,011,1.0
cv907_3193.txt:19,000,1.0
cv495_16121.txt:8,014,1.0
cv161_12224.txt:0,001,1.0
cv161_12224.txt:35,011,1.0
cv551_11214.txt:33,000,1.0
cv355_18174.txt:16,002,1.0
cv941_10718.txt:34,002,1.0
cv811_22646.txt:21,014,1.0
cv234_22123.txt:1,007,1.0
cv157_29302.txt:10,010,1.0
cv180_17823.txt:24,011,1.0
cv124_3903.txt:27,008,1.0
cv840_18033.txt:5,010,1.0
cv950_13478.txt:19,009,1.0
cv179_9533.txt:12,012,1.0
cv163_10110.txt:15,006,1.0
cv897_11703.txt:7,003,1.0
cv766_7983.txt:16,001,1.0
cv216_20165.txt:8,014,1.0
cv373_21872.txt:31,003,1.0
cv635_0984.txt:24,003,1.0
cv998_15691.txt:0,007,1.0
cv834_23192.txt:10,003,1.0
cv583_29465.txt:6,007,1.0
cv845_15886.txt:29,004,1.0
cv458_9000.txt:24,010,1.0
cv191_29539.txt:6,004,1.0
cv741_12765.txt:10,000,1.0
cv529_10972.txt:24,017,1.0
cv914_2856.txt:23,000,1.0
cv367_24065.txt:4,000,0.616642
cv367_24065.txt:4,001,0.284845
cv367_24065.txt:4,002,0.098513
cv367_24065.txt:39,000,1.0
cv427_11693.txt:22,018,1.0
cv470_17444.txt:8,010,1.0
cv957_9059.txt:13,001,1.0
cv530_17949.txt:11,010,1.0
cv719_5581.txt:22,000,1.0
cv670_2666.txt:20,000,0.616642
cv670_2666.txt:20,001,0.284845
cv670_2666.txt:20,002,0.098513
cv410_25624.txt:14,003,1.0
cv505_12926.txt:32,010,1.0
cv484_26169.txt:24,000,1.0
cv408_5367.txt:20,000,1.0
cv758_9740.txt:5,006,1.0
cv758_9740.txt:40,001,1.0
cv944_15042.txt:32,011,1.0
cv154_9562.txt:32,012,1.0
cv805_21128.txt:25,009,1.0
cv049_21917.txt:2,000,1.0
cv049_21917.txt:37,005,1.0
cv932_14854.txt:30,010,1.0
cv962_9813.txt:7,008,1.0
cv767_15673.txt:2,009,1.0
cv633_29730.txt:1,006,1.0
cv107_25639.txt:0,016,1.0
cv107_25639.txt:35,004,1.0
cv107_25639.txt:70,011,1.0
cv442_15499.txt:12,001,1.0
cv442_15499.txt:47,003,1.0
cv144_5010.txt:11,010,1.0
cv716_11153.txt:12,000,1.0
cv348_19207.txt:30,020,1.0
cv503_11196.txt:6,000,1.0
cv655_12055.txt:9,010,1.0
cv227_25406.txt:15,000,1.0
cv227_25406.txt:50,001,1.0
cv403_6721.txt:33,011,1.0
cv344_5376.txt:9,001,1.0
cv333_9443.txt:27,001,1.0
cv301_13010.txt:4,010,1.0
cv586_8048.txt:13,002,1.0
cv988_20168.txt:0,006,1.0
cv314_16095.txt:4,003,1.0
cv392_12238.txt:11,000,1.0
cv745_14009.txt:18,000,1.0
cv745_14009.txt:53,002,1.0
cv238_14285.txt:23,001,1.0
cv099_11189.txt:17,000,1.0
cv103_11943.txt:10,000,1.0
cv896_17819.txt:7,000,1.0
cv664_4264.txt:17,002,1.0
cv138_13903.txt:7,019,1.0
cv138_13903.txt:42,006,1.0
cv138_13903.txt:77,000,1.0
cv374_26455.txt:33,001,1.0
cv846_29359.txt:27,005,1.0
cv692_17026.txt:12,000,1.0
cv064_25842.txt:22,000,1.0
cv796_17243.txt:2,010,1.0
cv938_10706.txt:18,010,1.0
cv514_12173.txt:20,000,0.616642
cv514_12173.txt:20,001,0.284845
cv514_12173.txt:20,002,0.098513
cv514_12173.txt:55,010,1.0
cv349_15032.txt:32,002,1.0
cv603_18885.txt:1,009,1.0
cv489_19046.txt:1,010,1.0
cv489_19046.txt:36,000,1.0
cv246_28668.txt:18,000,1.0
cv922_10185.txt:17,008,1.0
cv384_18536.txt:18,011,1.0
cv494_18689.txt:23,010,1.0
cv726_4365.txt:0,003,1.0
cv061_9321.txt:17,001,1.0
cv061_9321.txt:52,008,1.0
cv212_10054.txt:15,001,1.0
cv193_5393.txt:8,000,1.0
cv451_11502.txt:24,001,1.0
cv829_21725.txt:30,010,1.0
cv625_13518.txt:5,000,1.0
cv025_29825.txt:4,010,1.0
cv975_11920.txt:8,012,1.0
cv975_11920.txt:43,002,1.0
cv472_29140.txt:3,010,1.0
cv966_28671.txt:3,000,1.0
cv579_12542.txt:5,005,1.0
cv579_12542.txt:40,003,1.0
cv910_21930.txt:5,010,1.0
cv813_6649.txt:9,000,1.0
cv253_10190.txt:0,002,1.0
cv253_10190.txt:35,006,1.0
cv842_5702.txt:33,010,1.0
cv217_28707.txt:27,000,1.0
cv634_11989.txt:21,002,1.0
cv335_16299.txt:6,010,1.0
cv853_29119.txt:7,010,1.0
cv254_5870.txt:8,010,1.0
cv485_26879.txt:16,010,1.0
cv747_18189.txt:10,010,1.0
cv008_29326.txt:12,000,1.0
cv501_12675.txt:14,010,1.0
cv136_12384.txt:5,010,1.0
cv321_14191.txt:8,004,1.0
cv981_16679.txt:19,001,1.0
cv115_26443.txt:32,000,1.0
cv059_28723.txt:8,000,1.0
cv281_24711.txt:27,010,1.0
cv085_15286.txt:20,000,1.0
cv542_20359.txt:21,006,1.0
cv900_10800.txt:16,012,1.0
cv628_20758.txt:20,003,1.0
cv092_27987.txt:6,000,1.0
cv548_18944.txt:15,001,1.0
cv417_14653.txt:23,010,1.0
cv185_28372.txt:25,002,1.0
cv926_18471.txt:30,008,1.0
cv926_18471.txt:65,015,1.0
cv088_25274.txt:6,005,1.0
cv648_17277.txt:3,005,1.0
cv648_17277.txt:38,006,1.0
cv268_20288.txt:13,000,1.0
cv902_13217.txt:23,009,1.0
cv856_28882.txt:18,003,1.0
cv031_19540.txt:5,000,1.0
cv031_19540.txt:40,008,1.0
cv456_20370.txt:3,008,1.0
cv173_4295.txt:3,000,0.616642
cv173_4295.txt:3,001,0.284845
cv173_4295.txt:3,002,0.098513
cv978_22192.txt:20,012,1.0
cv244_22935.txt:25,008,1.0
cv449_9126.txt:3,005,1.0
cv265_11625.txt:2,000,1.0
cv265_11625.txt:37,008,1.0
cv402_16097.txt:24,000,1.0
cv848_10061.txt:8,010,1.0
cv772_12971.txt:5,012,1.0
cv772_12971.txt:40,005,1.0
cv280_8651.txt:16,010,1.0
cv996_12447.txt:26,010,1.0
cv574_23191.txt:18,005,1.0
cv729_10475.txt:18,009,1.0
cv968_25413.txt:17,005,1.0
cv822_21545.txt:14,004,1.0
cv646_16817.txt:16,008,1.0
cv679_28221.txt:8,004,1.0
cv113_24354.txt:0,009,1.0
cv113_24354.txt:35,000,1.0
cv876_9633.txt:32,000,1.0
cv017_23487.txt:14,014,1.0
cv454_21961.txt:2,010,1.0
cv454_21961.txt:37,010,1.0
cv464_17076.txt:12,010,1.0
cv607_8235.txt:0,010,1.0
cv316_5972.txt:6,010,1.0
cv172_12037.txt:17,010,1.0
cv172_12037.txt:52,008,1.0
cv959_16218.txt:30,004,1.0
cv744_10091.txt:30,004,1.0
cv364_14254.txt:33,012,1.0
cv040_8829.txt:5,004,1.0
cv143_21158.txt:5,004,1.0
cv552_0150.txt:19,010,1.0
cv552_0150.txt:54,002,1.0
cv713_29002.txt:20,012,1.0
cv315_12638.txt:11,005,1.0
cv315_12638.txt:46,005,1.0
cv499_11407.txt:11,010,1.0
cv817_3675.txt:2,000,1.0
cv794_17353.txt:3,000,1.0
cv232_16768.txt:23,002,1.0
cv594_11945.txt:24,001,1.0
cv424_9268.txt:6,011,1.0
cv424_9268.txt:41,010,1.0
cv477_23530.txt:3,005,1.0
cv135_12506.txt:27,010,1.0
cv228_5644.txt:3,010,1.0
cv412_25254.txt:1,005,1.0
cv412_25254.txt:36,011,1.0
cv160_10848.txt:20,001,1.0
cv690_5425.txt:34,010,1.0
cv250_26462.txt:1,005,1.0
cv589_12853.txt:4,000,1.0
cv308_5079.txt:19,004,1.0
cv308_5079.txt:54,001,1.0
cv047_18725.txt:12,010,1.0
cv627_12603.txt:13,010,1.0
cv391_11615.txt:6,005,1.0
cv362_16985.txt:3,006,1.0
cv820_24157.txt:6,010,1.0
cv820_24157.txt:41,011,1.0
cv893_26731.txt:26,010,1.0
cv893_26731.txt:61,000,1.0
cv097_26081.txt:8,010,1.0
cv512_17618.txt:12,010,1.0
cv013_10494.txt:14,007,1.0
cv258_5627.txt:4,009,1.0
cv204_8930.txt:18,010,1.0
cv090_0049.txt:3,010,1.0
cv090_0049.txt:38,000,0.616642
cv090_0049.txt:38,001,0.284845
cv090_0049.txt:38,002,0.098513
cv123_12165.txt:17,009,1.0
cv770_11061.txt:11,003,1.0
cv269_23018.txt:4,010,1.0
cv269_23018.txt:39,000,1.0
cv916_17034.txt:1,000,1.0
cv430_18662.txt:3,005,1.0
cv979_2029.txt:11,001,1.0
cv669_24318.txt:19,000,1.0
cv669_24318.txt:54,005,1.0
cv455_28866.txt:14,008,1.0
cv599_22197.txt:19,000,1.0
cv762_15604.txt:19,000,1.0
cv739_12179.txt:11,001,1.0
cv441_15276.txt:20,008,1.0
cv441_15276.txt:55,009,1.0
cv285_18186.txt:10,008,1.0
cv261_11855.txt:34,010,1.0
cv267_16618.txt:1,011,1.0
cv785_23748.txt:15,006,1.0
cv038_9781.txt:21,009,1.0
cv220_28906.txt:18,012,1.0
cv468_16844.txt:17,019,1.0
cv531_26838.txt:21,011,1.0
cv302_26481.txt:13,002,1.0
cv302_26481.txt:48,007,1.0
cv379_23167.txt:27,000,1.0
cv708_28539.txt:0,000,1.0
cv187_14112.txt:17,000,1.0
cv187_14112.txt:52,001,1.0
cv004_12641.txt:33,017,1.0
cv680_10533.txt:8,010,1.0
cv613_23104.txt:9,000,1.0
cv946_20084.txt:17,000,1.0
cv790_16202.txt:19,014,1.0
cv381_21673.txt:33,009,1.0
cv697_12106.txt:3,000,1.0
cv697_12106.txt:38,000,1.0
cv183_19826.txt:32,007,1.0
cv658_11186.txt:5,000,1.0
cv389_9611.txt:15,010,1.0
cv325_18330.txt:29,010,1.0
cv437_24070.txt:7,010,1.0
cv496_11185.txt:9,001,1.0
cv457_19546.txt:23,004,1.0
cv066_11668.txt:25,001,1.0
cv141_17179.txt:25,008,1.0
cv826_12761.txt:27,010,1.0
cv997_5152.txt:19,001,1.0
cv639_10797.txt:32,010,1.0
cv019_16117.txt:20,007,1.0
cv398_17047.txt:15,004,1.0
cv372_6654.txt:21,009,1.0
cv711_12687.txt:28,009,1.0
cv838_25886.txt:5,000,1.0
cv838_25886.txt:40,004,1.0
cv208_9475.txt:29,000,1.0
cv425_8603.txt:19,007,1.0
cv736_24947.txt:16,000,1.0
cv736_24947.txt:51,004,1.0
cv815_23466.txt:3,000,0.616642
cv815_23466.txt:3,001,0.284845
cv815_23466.txt:3,002,0.098513
cv815_23466.txt:38,000,1.0
cv791_17995.txt:1,010,1.0
cv520_13297.txt:14,002,1.0
cv624_11601.txt:7,000,0.616642
cv624_11601.txt:7,001,0.284845
cv624_11601.txt:7,002,0.098513
cv534_15683.txt:3,019,1.0
cv889_22670.txt:13,010,1.0
cv889_22670.txt:48,010,1.0
cv768_12709.txt:29,011,1.0
cv788_26409.txt:8,000,1.0
cv370_5338.txt:5,003,1.0
cv835_20531.txt:11,003,1.0
cv580_15681.txt:3,010,1.0
cv297_10104.txt:20,012,1.0
cv523_18285.txt:17,010,1.0
cv847_20855.txt:0,000,1.0
cv847_20855.txt:35,001,1.0
cv158_10914.txt:5,000,1.0
cv502_10970.txt:8,010,1.0
cv623_16988.txt:0,017,1.0
cv623_16988.txt:35,000,1.0
cv623_16988.txt:70,000,0.616642
cv623_16988.txt:70,001,0.284845
cv623_16988.txt:70,002,0.098513
cv867_18362.txt:2,007,1.0
cv814_20316.txt:8,002,1.0
cv272_20313.txt:26,004,1.0
cv273_28961.txt:11,010,1.0
cv571_29292.txt:22,000,1.0
cv706_25883.txt:22,000,1.0
cv162_10977.txt:9,010,1.0
cv482_11233.txt:0,000,1.0
cv033_25680.txt:4,000,1.0
cv629_16604.txt:22,004,1.0
cv647_15275.txt:10,007,1.0
cv562_10847.txt:12,006,1.0
cv562_10847.txt:47,000,1.0
cv020_9234.txt:17,000,1.0
cv382_8393.txt:19,000,0.616642
cv382_8393.txt:19,001,0.284845
cv382_8393.txt:19,002,0.098513
cv264_14108.txt:30,003,1.0
cv991_19973.txt:19,000,1.0
cv566_8967.txt:18,010,1.0
cv591_24887.txt:16,003,1.0
cv214_13285.txt:10,000,0.616642
cv214_13285.txt:10,001,0.284845
cv214_13285.txt:10,002,0.098513
cv237_20635.txt:22,002,1.0
cv667_19672.txt:4,010,1.0
cv242_11354.txt:18,000,1.0
cv459_21834.txt:26,004,1.0
cv976_10724.txt:20,011,1.0
cv000_29416.txt:12,007,1.0
cv320_9693.txt:12,000,1.0
cv096_12262.txt:2,010,1.0
cv096_12262.txt:37,001,1.0
cv188_20687.txt:29,000,1.0
cv620_2556.txt:27,002,1.0
cv725_10266.txt:2,000,1.0
cv111_12253.txt:7,003,1.0
cv776_21934.txt:10,001,1.0
cv159_29374.txt:13,008,1.0
cv483_18103.txt:12,001,1.0
cv480_21195.txt:30,000,1.0
cv727_5006.txt:25,000,0.616642
cv727_5006.txt:25,001,0.284845
cv727_5006.txt:25,002,0.098513
cv022_14227.txt:29,000,1.0
cv278_14533.txt:25,001,1.0
cv189_24248.txt:19,004,1.0
cv587_20532.txt:21,001,1.0
cv235_10704.txt:4,001,1.0
cv282_6833.txt:1,000,1.0
cv042_11927.txt:19,010,1.0
cv279_19452.txt:1,010,1.0
cv705_11973.txt:12,018,1.0
cv685_5710.txt:12,010,1.0
cv207_29141.txt:18,002,1.0
cv152_9052.txt:17,010,1.0
cv072_5928.txt:21,010,1.0
cv508_17742.txt:8,005,1.0
cv436_20564.txt:0,012,1.0
cv436_20564.txt:35,001,1.0
cv276_17126.txt:0,016,1.0
cv276_17126.txt:35,001,1.0
cv807_23024.txt:17,000,1.0
cv807_23024.txt:52,003,1.0
cv073_23039.txt:9,000,0.616642
cv073_23039.txt:9,001,0.284845
cv073_23039.txt:9,002,0.098513
cv553_26965.txt:13,013,1.0
cv518_14798.txt:16,000,1.0
cv608_24647.txt:22,010,1.0
cv602_8830.txt:14,000,1.0
cv763_16486.txt:22,010,1.0
cv923_11951.txt:26,000,1.0
cv951_11816.txt:29,000,1.0
cv446_12209.txt:17,000,1.0
cv513_7236.txt:18,010,1.0
cv816_15257.txt:23,017,1.0
cv420_28631.txt:17,000,1.0
cv312_29308.txt:9,007,1.0
cv973_10171.txt:13,006,1.0
cv973_10171.txt:48,001,1.0
cv945_13012.txt:12,010,1.0
cv338_9183.txt:28,000,0.616642
cv338_9183.txt:28,001,0.284845
cv338_9183.txt:28,002,0.098513
cv385_29621.txt:3,000,1.0
cv686_15553.txt:9,001,1.0
cv732_13092.txt:10,000,0.616642
cv732_13092.txt:10,001,0.284845
cv732_13092.txt:10,002,0.098513
cv732_13092.txt:45,010,1.0
cv821_29283.txt:9,005,1.0
cv139_14236.txt:27,010,1.0
cv102_8306.txt:22,004,1.0
cv418_16562.txt:6,015,1.0
cv054_4101.txt:0,019,1.0
cv054_4101.txt:35,010,1.0
cv565_29403.txt:21,001,1.0
cv863_7912.txt:29,000,1.0
cv738_10287.txt:0,014,1.0
cv738_10287.txt:35,009,1.0
cv393_29234.txt:5,008,1.0
cv612_5396.txt:18,000,1.0
cv612_5396.txt:53,000,1.0
cv466_20092.txt:23,019,1.0
cv068_14810.txt:16,010,1.0
cv645_17078.txt:11,006,1.0
cv167_18094.txt:8,000,0.616642
cv167_18094.txt:8,001,0.284845
cv167_18094.txt:8,002,0.098513
cv621_15984.txt:20,000,1.0
cv765_20429.txt:1,004,1.0
cv765_20429.txt:36,002,1.0
cv432_15873.txt:3,000,1.0
cv710_23745.txt:4,003,1.0
cv181_16083.txt:5,003,1.0
cv262_13812.txt:22,001,1.0
cv844_13890.txt:31,006,1.0
cv509_17354.txt:20,001,1.0
cv169_24973.txt:0,000,1.0
cv169_24973.txt:35,000,1.0
cv473_7869.txt:28,000,1.0
cv357_14710.txt:17,006,1.0
cv434_5641.txt:33,009,1.0
cv368_11090.txt:31,001,1.0
cv075_6250.txt:3,008,1.0
cv497_27086.txt:19,010,1.0
cv197_29271.txt:2,003,1.0
cv653_2107.txt:22,010,1.0
cv924_29397.txt:17,001,1.0
cv952_26375.txt:13,008,1.0
cv782_21078.txt:6,010,1.0
cv361_28738.txt:7,000,1.0
cv361_28738.txt:42,005,1.0
cv939_11247.txt:7,000,1.0
cv478_15921.txt:24,000,1.0
cv478_15921.txt:59,003,1.0
cv557_12237.txt:20,001,1.0
cv892_18788.txt:30,001,1.0
cv076_26009.txt:1,010,1.0
cv249_12674.txt:24,003,1.0
cv055_8926.txt:0,005,1.0
cv792_3257.txt:9,010,1.0
cv868_12799.txt:5,000,1.0
cv554_14678.txt:31,008,1.0
cv413_7893.txt:22,001,1.0
cv199_9721.txt:10,000,1.0
cv799_19812.txt:12,004,1.0
cv799_19812.txt:47,006,1.0
cv134_23300.txt:7,000,1.0
cv018_21672.txt:8,006,1.0
cv035_3343.txt:17,000,1.0
cv631_4782.txt:15,008,1.0
cv098_17021.txt:10,000,1.0
cv775_17966.txt:23,010,1.0
cv100_12406.txt:29,000,1.0
cv100_12406.txt:64,009,1.0
cv100_12406.txt:99,019,1.0
cv399_28593.txt:16,001,1.0
cv544_5301.txt:20,005,1.0
cv972_26837.txt:11,007,1.0
cv375_9932.txt:0,000,1.0
cv145_12239.txt:4,000,1.0
cv898_1576.txt:13,000,0.616642
cv898_1576.txt:13,001,0.284845
cv898_1576.txt:13,002,0.098513
cv046_10613.txt:23,000,1.0
cv797_7245.txt:1,011,1.0
cv797_7245.txt:36,000,0.616642
cv797_7245.txt:36,001,0.284845
cv797_7245.txt:36,002,0.098513
cv911_21695.txt:34,002,1.0
cv871_25971.txt:2,000,1.0
cv871_25971.txt:37,004,1.0
cv405_21868.txt:20,003,1.0
cv336_10363.txt:24,011,1.0
cv070_13249.txt:25,008,1.0
cv071_12969.txt:16,000,1.0
cv423_12089.txt:17,000,1.0
cv423_12089.txt:52,000,1.0
cv778_18629.txt:18,008,1.0
cv781_5358.txt:27,000,1.0
cv546_12723.txt:1,000,1.0
cv114_19501.txt:7,008,1.0
cv383_14662.txt:0,002,1.0
cv755_24881.txt:15,003,1.0
